Date;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;CH
06/10/2020;2755;43;;3824;1221;1356;2566;8899;191;1153;365;1293;1269;171;132;1911;216;921;676;804;3699;151;11143;2863;510;8729;57058
07/10/2020;2810;44;;3908;1235;1370;2612;9012;192;1169;382;1314;1319;177;145;1988;222;945;714;829;3738;165;11337;2966;536;8912;58238
08/10/2020;2868;47;214;4006;1248;1385;2661;9167;196;1191;414;1357;1376;186;150;2057;227;;770;864;3778;167;11534;3061;564;9060;59493
09/10/2020;2932;52;218;4105;1266;1401;2739;9332;197;1217;434;1400;1438;195;160;2153;236;;839;901;3818;173;11744;3200;591;9295;60981
10/10/2020;2995;;;4218;1285;1412;2883;9506;;1244;462;;1480;199;;2192;;;880;901;;;11938;3281;619;9566;62260
11/10/2020;3019;;;4352;1297;1428;2950;9587;;1259;478;;1517;204;;2218;;;880;916;;;12082;3357;662;9777;63182
12/10/2020;3064;73;;4413;1316;1462;3041;9776;210;1281;495;1526;1594;211;169;2406;245;1029;974;925;3907;182;12337;3586;670;9950;65060
13/10/2020;3194;83;247;4562;1367;1483;3149;10083;218;1318;549;1576;1657;220;171;2559;252;1049;1029;973;3952;184;12642;3809;700;10180;67206
14/10/2020;3336;92;;4852;1395;1512;3287;10356;230;1347;605;1655;1740;233;191;2750;263;1085;1123;1028;4054;193;12961;4108;746;10408;69797
15/10/2020;3483;104;;5103;1454;1521;3440;10622;240;1387;678;1758;1838;240;207;2917;268;1119;1242;1103;4133;;13425;4418;792;10748;72680
16/10/2020;3638;117;304;5366;1506;1548;3600;11009;248;1416;725;1892;1961;248;221;3113;277;;1352;1149;4245;199;13802;4815;845;11462;76177
17/10/2020;3758;;;5728;1559;1590;3781;11308;;1446;796;;2024;258;;3203;;;1417;1267;4341;;14124;5098;904;12002;78981
18/10/2020;3849;;;5990;1586;1635;4004;11463;;1484;831;;2077;267;;3262;;;1417;1271;4491;;14480;5296;957;12526;81263
19/10/2020;3936;148;343;6195;1627;1667;4213;11823;280;1505;864;2160;2269;276;252;3652;311;1276;1596;1306;4517;232;15055;5860;962;12731;85056
20/10/2020;4193;156;376;6441;1706;1686;4447;12463;290;1541;936;2324;2432;287;252;3997;326;1331;1686;1464;4654;238;15745;6419;1014;13057;89461
21/10/2020;4466;179;404;6953;1778;1729;4733;13014;309;1602;1017;2489;2640;303;266;4388;337;1395;1845;1596;4909;262;16529;7088;1075;14041;95347
22/10/2020;4732;197;430;7505;1844;1804;5040;13796;315;1694;1082;2670;2826;319;275;4727;368;1496;1961;1763;5032;;17349;7766;1149;14820;101222
23/10/2020;4996;212;482;8307;1942;1878;5535;14645;329;1779;1153;2854;3040;335;282;5130;395;1596;2066;1890;5327;282;18365;8527;1212;15471;108030
24/10/2020;5319;222;;9022;2061;1981;6012;15243;;1869;1252;;3162;357;;5270;;;2165;2021;5584;;18974;9050;1286;16176;113246
25/10/2020;5476;;;9556;2144;2062;6312;15638;;1917;1387;;3249;361;;5331;;;2165;2076;5840;;19524;9426;1354;17232;117492
26/10/2020;5742;239;559;10003;2215;2103;6797;16413;367;2006;1483;3420;3520;375;340;6026;530;1871;2443;2213;5987;335;20776;10307;1403;17645;125118
27/10/2020;6184;266;605;10534;2300;2195;7293;17620;377;2104;1537;3664;3929;393;375;6555;;1971;2595;2517;6222;344;22071;11193;1469;18278;133121
28/10/2020;6643;279;653;11354;2411;2274;7897;18820;401;2204;1624;3965;4207;405;381;7000;569;2104;2758;2712;6530;381;23359;11960;1544;19253;141688
29/10/2020;7031;303;692;12034;2526;2403;8443;19840;428;2307;1757;;4576;429;400;7463;616;2257;2877;2871;6910;;24638;12745;1608;20531;150031
30/10/2020;7419;321;732;12798;2646;2488;9240;21202;451;2440;1873;4561;4821;462;414;7933;656;2410;2993;3000;7256;423;25777;13538;1674;21489;159017
31/10/2020;7786;;;13584;2789;2576;9936;21967;;2465;1996;;4950;473;;8056;;;3142;3112;7660;;26595;13992;1776;;164312
01/11/2020;8070;;;14263;2936;2653;10468;22300;;2498;2142;;4978;504;;8128;;;3142;3127;7892;;27279;14269;1814;;167920
02/11/2020;;354;819;14844;3093;2723;;;511;;;5270;;;433;;768;;3384;3137;8225;486;;14279;1845;;170437
